step,bucket,reason,segment_chars
26,traceback_in_exit0,traceback_only_no_test_failure,371
26,traceback_in_exit0,traceback_only_no_test_failure,152
26,traceback_in_exit0,traceback_only_no_test_failure,236
26,traceback_in_exit0,traceback_only_no_test_failure,137
26,traceback_in_exit0,traceback_only_no_test_failure,118
26,traceback_in_exit0,traceback_only_no_test_failure,713
26,traceback_in_exit0,traceback_only_no_test_failure,592
26,traceback_in_exit0,traceback_only_no_test_failure,600
26,traceback_in_exit0,traceback_only_no_test_failure,166
26,traceback_in_exit0,traceback_only_no_test_failure,293
26,traceback_in_exit0,traceback_only_no_test_failure,140
26,traceback_in_exit0,traceback_only_no_test_failure,140
27,traceback_in_exit0,traceback_only_no_test_failure,172
27,traceback_in_exit0,traceback_only_no_test_failure,1334
27,traceback_in_exit0,traceback_only_no_test_failure,708
27,traceback_in_exit0,traceback_only_no_test_failure,366
27,traceback_in_exit0,traceback_only_no_test_failure,492
27,traceback_in_exit0,traceback_only_no_test_failure,807
27,traceback_in_exit0,traceback_only_no_test_failure,1263
27,traceback_in_exit0,traceback_only_no_test_failure,636
27,traceback_in_exit0,traceback_only_no_test_failure,271
27,traceback_in_exit0,traceback_only_no_test_failure,191
27,traceback_in_exit0,traceback_only_no_test_failure,133
27,traceback_in_exit0,traceback_only_no_test_failure,152
27,traceback_in_exit0,traceback_only_no_test_failure,2207
27,traceback_in_exit0,traceback_only_no_test_failure,1733
27,traceback_in_exit0,traceback_only_no_test_failure,1661
27,traceback_in_exit0,traceback_only_no_test_failure,1809
27,traceback_in_exit0,traceback_only_no_test_failure,1035
27,traceback_in_exit0,traceback_only_no_test_failure,1636
27,traceback_in_exit0,traceback_only_no_test_failure,1648
27,traceback_in_exit0,traceback_only_no_test_failure,5419
27,traceback_in_exit0,traceback_only_no_test_failure,1650
27,traceback_in_exit0,traceback_only_no_test_failure,589
27,traceback_in_exit0,traceback_only_no_test_failure,181
27,traceback_in_exit0,traceback_only_no_test_failure,1702
28,traceback_in_exit0,traceback_only_no_test_failure,179
28,traceback_in_exit0,traceback_only_no_test_failure,164
28,traceback_in_exit0,traceback_only_no_test_failure,181
28,traceback_in_exit0,traceback_only_no_test_failure,119
